category,name,alias
bicyclepaths,Outdoor Activity,Bicycle Path
bowling,Indoor Activity,Bowling
fishing,Outdoor Activity,Fishing
gokarts,Outdoor Activity,Go Karts
golf,Indoor Activity,Golf
hiking,Outdoor Activity,Hiking
mini_golf,Indoor Activity,Mini Golf
parks,Outdoor Activity,Park
zoos,Outdoor Activity,Zoo
gardens,Outdoor Activity,Botanical Garden
movietheaters,"Events, Shows & Movies",Cinema
festivals,Concerts & Festivals,Festival
museums,Museums & Sites,Museum
musicvenues,"Events, Shows & Movies",Music Venue
opera,Theatres & Operas,Opera & Ballet
paintandsip,Indoor Activity,Paint & Sip
winetastingroom,Indoor Activity,Wine Tasting Room
sambaschools,Club & Dance,Samba School
stripclubs,Club & Dance,Strip Club
beerbar,Bar,Beer Bar
cocktailbars,Bar,Cocktail Bar
sportsbars,Bar,Sports Bar
wine_bars,Bar,Wine Bar
beergardens,Bar,Beer Garden
danceclubs,Club & Dance,Dance Club
karaoke,Bar,Karaoke
poolhalls,Indoor Activity,Pool Hall
restaurants,Dinner & Lunch,Restaurant
arabian,Dinner & Lunch,Arabian
cafes,Breakfast,Cafe
cafeteria,Breakfast,Cafeteria
chinese,Dinner & Lunch,Chinese
german,Dinner & Lunch,German
greek,Dinner & Lunch,Greek
italian,Dinner & Lunch,Italian
japanese,Dinner & Lunch,Japanese
spanish,Dinner & Lunch,Spanish
thai,Dinner & Lunch,Thai
vegetarian,Dinner & Lunch,Vegetarian
